Parameter,Value,Throughput,Workload,Safety
fatigueRate,0.9,3.52856674135171,1224.32564771928,0.996950061531495
fatigueRate,1,3.55411968510035,1232.32467564466,0.999299168630832
fatigueRate,1.1,3.60968079912504,1257.73527694064,0.998379443023633
w1,0.9,3.61468588607218,1257.15235147919,0.996654547762506
w1,1,3.5980076337424,1237.26734009363,0.997391890364957
w1,1.1,3.61251992789339,1247.49817497285,0.999111401995112
w3,0.9,3.61842227872272,1270.64529654833,0.997944643655845
w3,1,3.59952382226875,1252.09640030648,0.998781772074435
w3,1.1,3.56637134256126,1258.33172757857,0.998799181271407
auctionFrequency,0.9,3.62350025229709,1250.05752058786,0.99802680936939
auctionFrequency,1,3.63455561943444,1269.53423121854,0.997838864389459
auctionFrequency,1.1,3.56979337063053,1236.89942231358,0.99841870598845
